Year,Month,dewey,counts
2007,01,0,86909
2007,01,100,4400
2007,01,200,4308
2007,01,300,16246
2007,01,400,1318
2007,01,500,6127
2007,01,600,23479
2007,01,700,25510
2007,01,800,7400
2007,01,900,14107
2007,02,0,150316
2007,02,100,6101
2007,02,200,6029
2007,02,300,23074
2007,02,400,1750
2007,02,500,8774
2007,02,600,32576
2007,02,700,41221
2007,02,800,11228
2007,02,900,20161
2007,03,0,179847
2007,03,100,7796
2007,03,200,7281
2007,03,300,26932
2007,03,400,2265
2007,03,500,11070
2007,03,600,38905
2007,03,700,51873
2007,03,800,13056
2007,03,900,24064
2007,04,0,159200
2007,04,100,6549
2007,04,200,6155
2007,04,300,23271
2007,04,400,1978
2007,04,500,9474
2007,04,600,33317
2007,04,700,46966
2007,04,800,12139
2007,04,900,19697
2007,05,0,137671
2007,05,100,6425
2007,05,200,5658
2007,05,300,21807
2007,05,400,1766
2007,05,500,8825
2007,05,600,31885
2007,05,700,42527
2007,05,800,10229
2007,05,900,18658
2007,06,0,195207
2007,06,100,7468
2007,06,200,6282
2007,06,300,25228
2007,06,400,2023
2007,06,500,9811
2007,06,600,37748
2007,06,700,50753
2007,06,800,12495
2007,06,900,21220
2007,07,0,202761
2007,07,100,7475
2007,07,200,6591
2007,07,300,25685
2007,07,400,2071
2007,07,500,10160
2007,07,600,38334
2007,07,700,53131
2007,07,800,12820
2007,07,900,20750
2007,08,0,200146
2007,08,100,7770
2007,08,200,6473
2007,08,300,25981
2007,08,400,2161
2007,08,500,9379
2007,08,600,38400
2007,08,700,52771
2007,08,800,13086
2007,08,900,20991
2007,09,0,168712
2007,09,100,6353
2007,09,200,5949
2007,09,300,22828
2007,09,400,1837
2007,09,500,8366
2007,09,600,32767
2007,09,700,44568
2007,09,800,11847
2007,09,900,17846
2007,10,0,160004
2007,10,100,6835
2007,10,200,5938
2007,10,300,24541
2007,10,400,2039
2007,10,500,8812
2007,10,600,34676
2007,10,700,43556
2007,10,800,11245
2007,10,900,18807
2007,11,0,198944
2007,11,100,7891
2007,11,200,7545
2007,11,300,29086
2007,11,400,2275
2007,11,500,9989
2007,11,600,40302
2007,11,700,53299
2007,11,800,13234
2007,11,900,21380
2007,12,0,172048
2007,12,100,7095
2007,12,200,6991
2007,12,300,25123
2007,12,400,2109
2007,12,500,7817
2007,12,600,35775
2007,12,700,49279
2007,12,800,12033
2007,12,900,19944
2008,01,0,202456
2008,01,100,8561
2008,01,200,7867
2008,01,300,31817
2008,01,400,2459
2008,01,500,11268
2008,01,600,46221
2008,01,700,60028
2008,01,800,14822
2008,01,900,24913
2008,02,0,185116
2008,02,100,7581
2008,02,200,7107
2008,02,300,28026
2008,02,400,2159
2008,02,500,10284
2008,02,600,41220
2008,02,700,53272
2008,02,800,13004
2008,02,900,22490
2008,03,0,193832
2008,03,100,7774
2008,03,200,7511
2008,03,300,29051
2008,03,400,2324
2008,03,500,11427
2008,03,600,44478
2008,03,700,55638
2008,03,800,13893
2008,03,900,23825
2008,04,0,201691
2008,04,100,8712
2008,04,200,7754
2008,04,300,31674
2008,04,400,2303
2008,04,500,11732
2008,04,600,47446
2008,04,700,58562
2008,04,800,15329
2008,04,900,24242
2008,05,0,197673
2008,05,100,8084
2008,05,200,7193
2008,05,300,30110
2008,05,400,2068
2008,05,500,11397
2008,05,600,43930
2008,05,700,57418
2008,05,800,12917
2008,05,900,23788
2008,06,0,222150
2008,06,100,8377
2008,06,200,7782
2008,06,300,30109
2008,06,400,2281
2008,06,500,10616
2008,06,600,46305
2008,06,700,61180
2008,06,800,13743
2008,06,900,22601
2008,07,0,248275
2008,07,100,9301
2008,07,200,7930
2008,07,300,33161
2008,07,400,2435
2008,07,500,11999
2008,07,600,49174
2008,07,700,70157
2008,07,800,14755
2008,07,900,24454
2008,08,0,229135
2008,08,100,8991
2008,08,200,7482
2008,08,300,31456
2008,08,400,2354
2008,08,500,10389
2008,08,600,47412
2008,08,700,67952
2008,08,800,13807
2008,08,900,22787
2008,09,0,225416
2008,09,100,8639
2008,09,200,7469
2008,09,300,31204
2008,09,400,2414
2008,09,500,11235
2008,09,600,46115
2008,09,700,62519
2008,09,800,14380
2008,09,900,21999
2008,10,0,218345
2008,10,100,8306
2008,10,200,7457
2008,10,300,31613
2008,10,400,2563
2008,10,500,11014
2008,10,600,45456
2008,10,700,63738
2008,10,800,13895
2008,10,900,21876
2008,11,0,209571
2008,11,100,8132
2008,11,200,7210
2008,11,300,30173
2008,11,400,2337
2008,11,500,10479
2008,11,600,44890
2008,11,700,60261
2008,11,800,13824
2008,11,900,22245
2008,12,0,188125
2008,12,100,7204
2008,12,200,6507
2008,12,300,26780
2008,12,400,1927
2008,12,500,9474
2008,12,600,40122
2008,12,700,56926
2008,12,800,12821
2008,12,900,19293
2009,01,0,238791
2009,01,100,9977
2009,01,200,7991
2009,01,300,35370
2009,01,400,2526
2009,01,500,13646
2009,01,600,57950
2009,01,700,71831
2009,01,800,16372
2009,01,900,28201
2009,02,0,215363
2009,02,100,8788
2009,02,200,7308
2009,02,300,31015
2009,02,400,2222
2009,02,500,11888
2009,02,600,49683
2009,02,700,64391
2009,02,800,13627
2009,02,900,23418
2009,03,0,234491
2009,03,100,9610
2009,03,200,7780
2009,03,300,32697
2009,03,400,2688
2009,03,500,13833
2009,03,600,53901
2009,03,700,68811
2009,03,800,14729
2009,03,900,25304
2009,04,0,224625
2009,04,100,9518
2009,04,200,7598
2009,04,300,32218
2009,04,400,2606
2009,04,500,13914
2009,04,600,53900
2009,04,700,66926
2009,04,800,15857
2009,04,900,23445
2009,05,0,221133
2009,05,100,9226
2009,05,200,7175
2009,05,300,30586
2009,05,400,2459
2009,05,500,12646
2009,05,600,51991
2009,05,700,65308
2009,05,800,14203
2009,05,900,23391
2009,06,0,250209
2009,06,100,9632
2009,06,200,6866
2009,06,300,30498
2009,06,400,2659
2009,06,500,12223
2009,06,600,52128
2009,06,700,71358
2009,06,800,13962
2009,06,900,23006
2009,07,0,258297
2009,07,100,9498
2009,07,200,7108
2009,07,300,31580
2009,07,400,2571
2009,07,500,12520
2009,07,600,52247
2009,07,700,73134
2009,07,800,14201
2009,07,900,23176
2009,08,0,261958
2009,08,100,9541
2009,08,200,7305
2009,08,300,32230
2009,08,400,2726
2009,08,500,11855
2009,08,600,53131
2009,08,700,73183
2009,08,800,14130
2009,08,900,24115
2009,09,0,190519
2009,09,100,6993
2009,09,200,5562
2009,09,300,24045
2009,09,400,2009
2009,09,500,9569
2009,09,600,38844
2009,09,700,50749
2009,09,800,11342
2009,09,900,17559
2009,10,0,244923
2009,10,100,9534
2009,10,200,7588
2009,10,300,33376
2009,10,400,2669
2009,10,500,12088
2009,10,600,51693
2009,10,700,64232
2009,10,800,14164
2009,10,900,22769
2009,11,0,224369
2009,11,100,8834
2009,11,200,7203
2009,11,300,31078
2009,11,400,2312
2009,11,500,10988
2009,11,600,46760
2009,11,700,60434
2009,11,800,12991
2009,11,900,19632
2009,12,0,207894
2009,12,100,8882
2009,12,200,6845
2009,12,300,28408
2009,12,400,2089
2009,12,500,9554
2009,12,600,43870
2009,12,700,57182
2009,12,800,12689
2009,12,900,18637
2010,01,0,229073
2010,01,100,9774
2010,01,200,7668
2010,01,300,33098
2010,01,400,2423
2010,01,500,12339
2010,01,600,53762
2010,01,700,64418
2010,01,800,14488
2010,01,900,23451
2010,02,0,207167
2010,02,100,8964
2010,02,200,7355
2010,02,300,29697
2010,02,400,2209
2010,02,500,10890
2010,02,600,48828
2010,02,700,57763
2010,02,800,12434
2010,02,900,20992
2010,03,0,243301
2010,03,100,10005
2010,03,200,8468
2010,03,300,34045
2010,03,400,2757
2010,03,500,13527
2010,03,600,57062
2010,03,700,67331
2010,03,800,15133
2010,03,900,25320
2010,04,0,224423
2010,04,100,9622
2010,04,200,7252
2010,04,300,31389
2010,04,400,2619
2010,04,500,12713
2010,04,600,51834
2010,04,700,60758
2010,04,800,15518
2010,04,900,22701
2010,05,0,216414
2010,05,100,8860
2010,05,200,7223
2010,05,300,30523
2010,05,400,2376
2010,05,500,12236
2010,05,600,50474
2010,05,700,60182
2010,05,800,13510
2010,05,900,22956
2010,06,0,246819
2010,06,100,9388
2010,06,200,7258
2010,06,300,31255
2010,06,400,2797
2010,06,500,11760
2010,06,600,51814
2010,06,700,64541
2010,06,800,13466
2010,06,900,22982
2010,07,0,249554
2010,07,100,8727
2010,07,200,6696
2010,07,300,30321
2010,07,400,2757
2010,07,500,10901
2010,07,600,50082
2010,07,700,65334
2010,07,800,13447
2010,07,900,21408
2010,08,0,245730
2010,08,100,8483
2010,08,200,6538
2010,08,300,29219
2010,08,400,2633
2010,08,500,10409
2010,08,600,48904
2010,08,700,64881
2010,08,800,13046
2010,08,900,21043
2010,09,0,198843
2010,09,100,7026
2010,09,200,5024
2010,09,300,24424
2010,09,400,2267
2010,09,500,9631
2010,09,600,39974
2010,09,700,50811
2010,09,800,10823
2010,09,900,16140
2010,10,0,235956
2010,10,100,8817
2010,10,200,6695
2010,10,300,30462
2010,10,400,2676
2010,10,500,11514
2010,10,600,48668
2010,10,700,61585
2010,10,800,13283
2010,10,900,19365
2010,11,0,216218
2010,11,100,8123
2010,11,200,6380
2010,11,300,28259
2010,11,400,2170
2010,11,500,10034
2010,11,600,44924
2010,11,700,57843
2010,11,800,12416
2010,11,900,18640
2010,12,0,211237
2010,12,100,7706
2010,12,200,6206
2010,12,300,27255
2010,12,400,2205
2010,12,500,9436
2010,12,600,43941
2010,12,700,59298
2010,12,800,12421
2010,12,900,18630
2011,01,0,224723
2011,01,100,9179
2011,01,200,6909
2011,01,300,31595
2011,01,400,2719
2011,01,500,12665
2011,01,600,52045
2011,01,700,64327
2011,01,800,13606
2011,01,900,22971
2011,02,0,207470
2011,02,100,8031
2011,02,200,6038
2011,02,300,28237
2011,02,400,2437
2011,02,500,11440
2011,02,600,47487
2011,02,700,59505
2011,02,800,11899
2011,02,900,20325
2011,03,0,240913
2011,03,100,9144
2011,03,200,7432
2011,03,300,31487
2011,03,400,2495
2011,03,500,14391
2011,03,600,54602
2011,03,700,66978
2011,03,800,13661
2011,03,900,23143
2011,04,0,216485
2011,04,100,8552
2011,04,200,6715
2011,04,300,28261
2011,04,400,2389
2011,04,500,12537
2011,04,600,49194
2011,04,700,62065
2011,04,800,13185
2011,04,900,20532
2011,05,0,206196
2011,05,100,8502
2011,05,200,5751
2011,05,300,26884
2011,05,400,2098
2011,05,500,11271
2011,05,600,46329
2011,05,700,59301
2011,05,800,11275
2011,05,900,19306
2011,06,0,233946
2011,06,100,8178
2011,06,200,5507
2011,06,300,26226
2011,06,400,2143
2011,06,500,10787
2011,06,600,44612
2011,06,700,60724
2011,06,800,10706
2011,06,900,19040
2011,07,0,218451
2011,07,100,7251
2011,07,200,4686
2011,07,300,23470
2011,07,400,1996
2011,07,500,9951
2011,07,600,38415
2011,07,700,58496
2011,07,800,9917
2011,07,900,16911
2011,08,0,163808
2011,08,100,4772
2011,08,200,3339
2011,08,300,16435
2011,08,400,1580
2011,08,500,7434
2011,08,600,25981
2011,08,700,43937
2011,08,800,7811
2011,08,900,11982
2011,09,0,128568
2011,09,100,3493
2011,09,200,2653
2011,09,300,13218
2011,09,400,1397
2011,09,500,6597
2011,09,600,20319
2011,09,700,30973
2011,09,800,6419
2011,09,900,9594
2011,10,0,152279
2011,10,100,4409
2011,10,200,3397
2011,10,300,16556
2011,10,400,1779
2011,10,500,8187
2011,10,600,25441
2011,10,700,37159
2011,10,800,7350
2011,10,900,11439
2011,11,0,147290
2011,11,100,3907
2011,11,200,3379
2011,11,300,15845
2011,11,400,1549
2011,11,500,7418
2011,11,600,23284
2011,11,700,35790
2011,11,800,7642
2011,11,900,11130
2011,12,0,129263
2011,12,100,3868
2011,12,200,3090
2011,12,300,13792
2011,12,400,1351
2011,12,500,5975
2011,12,600,21159
2011,12,700,34162
2011,12,800,7119
2011,12,900,10108
2012,01,0,131892
2012,01,100,4074
2012,01,200,3162
2012,01,300,15233
2012,01,400,1547
2012,01,500,7686
2012,01,600,23443
2012,01,700,33635
2012,01,800,6963
2012,01,900,11614
2012,02,0,135900
2012,02,100,4014
2012,02,200,3172
2012,02,300,14987
2012,02,400,1580
2012,02,500,7562
2012,02,600,23934
2012,02,700,33978
2012,02,800,7091
2012,02,900,11880
2012,03,0,153115
2012,03,100,4607
2012,03,200,3667
2012,03,300,16673
2012,03,400,1667
2012,03,500,9431
2012,03,600,26302
2012,03,700,37502
2012,03,800,7673
2012,03,900,13232
2012,04,0,139070
2012,04,100,4212
2012,04,200,3234
2012,04,300,14738
2012,04,400,1592
2012,04,500,8206
2012,04,600,24528
2012,04,700,35627
2012,04,800,8353
2012,04,900,12026
2012,05,0,141511
2012,05,100,4301
2012,05,200,3144
2012,05,300,14453
2012,05,400,1420
2012,05,500,8401
2012,05,600,23772
2012,05,700,36187
2012,05,800,7565
2012,05,900,12041
2012,06,0,167450
2012,06,100,4696
2012,06,200,3166
2012,06,300,15527
2012,06,400,1637
2012,06,500,8856
2012,06,600,24789
2012,06,700,39986
2012,06,800,7551
2012,06,900,12838
2012,07,0,170263
2012,07,100,4712
2012,07,200,3106
2012,07,300,15571
2012,07,400,1614
2012,07,500,8968
2012,07,600,24624
2012,07,700,42569
2012,07,800,7999
2012,07,900,12550
2012,08,0,136385
2012,08,100,3677
2012,08,200,2646
2012,08,300,12601
2012,08,400,1222
2012,08,500,6531
2012,08,600,20250
2012,08,700,33880
2012,08,800,6125
2012,08,900,10214
2012,09,0,137668
2012,09,100,3775
2012,09,200,2712
2012,09,300,13535
2012,09,400,1350
2012,09,500,7503
2012,09,600,20962
2012,09,700,30877
2012,09,800,6532
2012,09,900,10315
2012,10,0,164168
2012,10,100,4769
2012,10,200,3175
2012,10,300,16287
2012,10,400,1594
2012,10,500,8982
2012,10,600,25396
2012,10,700,36667
2012,10,800,7586
2012,10,900,11914
2012,11,0,154339
2012,11,100,4265
2012,11,200,3122
2012,11,300,15357
2012,11,400,1296
2012,11,500,7768
2012,11,600,22813
2012,11,700,35802
2012,11,800,7037
2012,11,900,11400
2012,12,0,138153
2012,12,100,4148
2012,12,200,3006
2012,12,300,13950
2012,12,400,1206
2012,12,500,6772
2012,12,600,21861
2012,12,700,34522
2012,12,800,6984
2012,12,900,10610
2013,01,0,165533
2013,01,100,5259
2013,01,200,3510
2013,01,300,17569
2013,01,400,1654
2013,01,500,10144
2013,01,600,27888
2013,01,700,40953
2013,01,800,7954
2013,01,900,14168
2013,02,0,148389
2013,02,100,4599
2013,02,200,3349
2013,02,300,15656
2013,02,400,1505
2013,02,500,9288
2013,02,600,25172
2013,02,700,37118
2013,02,800,7152
2013,02,900,12822
2013,03,0,160965
2013,03,100,5091
2013,03,200,3646
2013,03,300,16905
2013,03,400,1557
2013,03,500,10419
2013,03,600,27376
2013,03,700,40488
2013,03,800,7820
2013,03,900,13998
2013,04,0,157124
2013,04,100,4997
2013,04,200,3601
2013,04,300,16286
2013,04,400,1586
2013,04,500,9927
2013,04,600,26655
2013,04,700,39361
2013,04,800,8604
2013,04,900,13510
2013,05,0,146784
2013,05,100,5002
2013,05,200,3144
2013,05,300,14973
2013,05,400,1250
2013,05,500,8773
2013,05,600,25370
2013,05,700,36649
2013,05,800,6946
2013,05,900,13096
2013,06,0,174283
2013,06,100,5242
2013,06,200,3207
2013,06,300,15314
2013,06,400,1395
2013,06,500,9250
2013,06,600,26100
2013,06,700,42539
2013,06,800,7422
2013,06,900,13100
2013,07,0,181121
2013,07,100,5227
2013,07,200,3256
2013,07,300,15983
2013,07,400,1415
2013,07,500,9352
2013,07,600,26512
2013,07,700,44885
2013,07,800,7835
2013,07,900,12726
2013,08,0,172599
2013,08,100,5375
2013,08,200,3358
2013,08,300,15318
2013,08,400,1470
2013,08,500,9200
2013,08,600,26303
2013,08,700,42917
2013,08,800,7413
2013,08,900,12386
2013,09,0,162036
2013,09,100,4977
2013,09,200,3223
2013,09,300,15420
2013,09,400,1516
2013,09,500,8856
2013,09,600,25269
2013,09,700,37885
2013,09,800,7254
2013,09,900,11701
2013,10,0,164093
2013,10,100,5075
2013,10,200,3227
2013,10,300,16391
2013,10,400,1508
2013,10,500,9770
2013,10,600,25080
2013,10,700,37662
2013,10,800,7478
2013,10,900,11742
2013,11,0,159695
2013,11,100,4825
2013,11,200,3351
2013,11,300,15597
2013,11,400,1339
2013,11,500,8760
2013,11,600,24542
2013,11,700,37845
2013,11,800,7349
2013,11,900,12094
2013,12,0,136233
2013,12,100,4372
2013,12,200,3061
2013,12,300,13642
2013,12,400,1092
2013,12,500,6902
2013,12,600,21234
2013,12,700,33907
2013,12,800,6592
2013,12,900,11047
2014,01,0,158757
2014,01,100,5332
2014,01,200,3429
2014,01,300,16531
2014,01,400,1556
2014,01,500,10190
2014,01,600,26588
2014,01,700,38910
2014,01,800,7490
2014,01,900,14046
2014,02,0,140519
2014,02,100,4597
2014,02,200,2888
2014,02,300,14393
2014,02,400,1270
2014,02,500,8253
2014,02,600,22634
2014,02,700,33105
2014,02,800,6501
2014,02,900,12254
2014,03,0,163446
2014,03,100,5361
2014,03,200,3392
2014,03,300,16560
2014,03,400,1369
2014,03,500,10499
2014,03,600,26569
2014,03,700,37686
2014,03,800,7643
2014,03,900,14135
2014,04,0,143456
2014,04,100,4755
2014,04,200,3258
2014,04,300,14731
2014,04,400,1190
2014,04,500,9125
2014,04,600,24041
2014,04,700,34996
2014,04,800,7675
2014,04,900,12346
2014,05,0,144190
2014,05,100,4861
2014,05,200,3014
2014,05,300,14308
2014,05,400,1101
2014,05,500,9494
2014,05,600,23780
2014,05,700,35757
2014,05,800,6763
2014,05,900,12561
2014,06,0,159149
2014,06,100,4874
2014,06,200,2918
2014,06,300,14472
2014,06,400,1154
2014,06,500,9397
2014,06,600,23921
2014,06,700,37555
2014,06,800,6989
2014,06,900,12561
2014,07,0,168951
2014,07,100,4906
2014,07,200,2988
2014,07,300,14284
2014,07,400,1319
2014,07,500,9812
2014,07,600,23729
2014,07,700,40519
2014,07,800,6916
2014,07,900,12988
2014,08,0,159482
2014,08,100,4706
2014,08,200,2744
2014,08,300,13649
2014,08,400,1160
2014,08,500,8843
2014,08,600,23121
2014,08,700,40480
2014,08,800,6829
2014,08,900,12077
2014,09,0,151794
2014,09,100,4505
2014,09,200,2825
2014,09,300,13602
2014,09,400,1213
2014,09,500,8393
2014,09,600,22429
2014,09,700,35821
2014,09,800,6831
2014,09,900,11709
2014,10,0,156018
2014,10,100,4488
2014,10,200,3062
2014,10,300,14179
2014,10,400,1376
2014,10,500,9376
2014,10,600,23165
2014,10,700,36389
2014,10,800,7031
2014,10,900,11261
2014,11,0,150857
2014,11,100,4379
2014,11,200,2871
2014,11,300,13638
2014,11,400,1154
2014,11,500,8556
2014,11,600,21366
2014,11,700,35851
2014,11,800,6596
2014,11,900,10814
2014,12,0,134789
2014,12,100,4063
2014,12,200,2786
2014,12,300,12323
2014,12,400,1012
2014,12,500,7181
2014,12,600,20033
2014,12,700,34150
2014,12,800,6216
2014,12,900,9939
2015,01,0,149678
2015,01,100,4704
2015,01,200,2912
2015,01,300,14804
2015,01,400,1213
2015,01,500,9482
2015,01,600,24308
2015,01,700,37501
2015,01,800,7076
2015,01,900,13547
2015,02,0,135162
2015,02,100,4074
2015,02,200,2594
2015,02,300,12879
2015,02,400,1060
2015,02,500,8590
2015,02,600,20938
2015,02,700,32003
2015,02,800,6030
2015,02,900,11704
2015,03,0,145954
2015,03,100,4404
2015,03,200,2998
2015,03,300,13971
2015,03,400,1120
2015,03,500,9717
2015,03,600,22662
2015,03,700,35881
2015,03,800,6529
2015,03,900,12547
2015,04,0,141082
2015,04,100,4313
2015,04,200,2987
2015,04,300,13702
2015,04,400,1122
2015,04,500,9586
2015,04,600,22367
2015,04,700,35085
2015,04,800,7403
2015,04,900,12105
2015,05,0,135550
2015,05,100,4324
2015,05,200,2749
2015,05,300,12756
2015,05,400,1020
2015,05,500,8900
2015,05,600,21564
2015,05,700,34864
2015,05,800,6211
2015,05,900,11721
2015,06,0,153391
2015,06,100,4566
2015,06,200,2898
2015,06,300,13334
2015,06,400,1180
2015,06,500,9311
2015,06,600,22485
2015,06,700,39577
2015,06,800,6308
2015,06,900,11843
2015,07,0,162397
2015,07,100,4682
2015,07,200,2863
2015,07,300,13788
2015,07,400,1148
2015,07,500,9642
2015,07,600,22774
2015,07,700,41326
2015,07,800,6670
2015,07,900,12659
2015,08,0,161356
2015,08,100,4774
2015,08,200,2898
2015,08,300,14046
2015,08,400,1171
2015,08,500,8943
2015,08,600,22519
2015,08,700,40374
2015,08,800,6509
2015,08,900,12352
2015,09,0,153681
2015,09,100,4772
2015,09,200,2827
2015,09,300,13955
2015,09,400,1197
2015,09,500,9233
2015,09,600,22121
2015,09,700,37703
2015,09,800,6297
2015,09,900,11704
2015,10,0,154467
2015,10,100,4944
2015,10,200,3008
2015,10,300,14435
2015,10,400,1257
2015,10,500,9051
2015,10,600,22046
2015,10,700,35355
2015,10,800,6806
2015,10,900,11397
2015,11,0,147000
2015,11,100,4500
2015,11,200,2843
2015,11,300,13555
2015,11,400,1083
2015,11,500,8009
2015,11,600,21141
2015,11,700,34638
2015,11,800,6501
2015,11,900,10915
2015,12,0,128007
2015,12,100,4239
2015,12,200,2699
2015,12,300,12265
2015,12,400,955
2015,12,500,6626
2015,12,600,19148
2015,12,700,31207
2015,12,800,5740
2015,12,900,9746
2016,01,0,145596
2016,01,100,5111
2016,01,200,2992
2016,01,300,14609
2016,01,400,1144
2016,01,500,9570
2016,01,600,23600
2016,01,700,35250
2016,01,800,6607
2016,01,900,12868
2016,02,0,139014
2016,02,100,4652
2016,02,200,2648
2016,02,300,14142
2016,02,400,1021
2016,02,500,9043
2016,02,600,21653
2016,02,700,33702
2016,02,800,5993
2016,02,900,12589
2016,03,0,142327
2016,03,100,4811
2016,03,200,2937
2016,03,300,14162
2016,03,400,1056
2016,03,500,9277
2016,03,600,22615
2016,03,700,34230
2016,03,800,6206
2016,03,900,12437
2016,04,0,130386
2016,04,100,4401
2016,04,200,2528
2016,04,300,13393
2016,04,400,972
2016,04,500,8591
2016,04,600,20855
2016,04,700,33045
2016,04,800,6574
2016,04,900,11253
2016,05,0,128008
2016,05,100,4331
2016,05,200,2371
2016,05,300,12561
2016,05,400,905
2016,05,500,9094
2016,05,600,19896
2016,05,700,31688
2016,05,800,5596
2016,05,900,10814
2016,06,0,143219
2016,06,100,4556
2016,06,200,2526
2016,06,300,12960
2016,06,400,1035
2016,06,500,8999
2016,06,600,20984
2016,06,700,35338
2016,06,800,5847
2016,06,900,11103
2016,07,0,147462
2016,07,100,4540
2016,07,200,2608
2016,07,300,13483
2016,07,400,1012
2016,07,500,9348
2016,07,600,21037
2016,07,700,37393
2016,07,800,5938
2016,07,900,11336
2016,08,0,150227
2016,08,100,4728
2016,08,200,2663
2016,08,300,13911
2016,08,400,1041
2016,08,500,8914
2016,08,600,20853
2016,08,700,38598
2016,08,800,6566
2016,08,900,11189
2016,09,0,140244
2016,09,100,4510
2016,09,200,2530
2016,09,300,13797
2016,09,400,1133
2016,09,500,8297
2016,09,600,20109
2016,09,700,33725
2016,09,800,6221
2016,09,900,10285
2016,10,0,146920
2016,10,100,4612
2016,10,200,2793
2016,10,300,14683
2016,10,400,1153
2016,10,500,9241
2016,10,600,20908
2016,10,700,33795
2016,10,800,6198
2016,10,900,10500
2016,11,0,141751
2016,11,100,4520
2016,11,200,2588
2016,11,300,14423
2016,11,400,1167
2016,11,500,8415
2016,11,600,19574
2016,11,700,33182
2016,11,800,6083
2016,11,900,10560
2016,12,0,125006
2016,12,100,4293
2016,12,200,2579
2016,12,300,12870
2016,12,400,904
2016,12,500,6840
2016,12,600,18227
2016,12,700,31797
2016,12,800,5766
2016,12,900,9711
